ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
21,0.001,0.000,2.350,0.112,C:\programs\python\projects\excercises\game\pygtest.py:495(change_windowsize)
2,0.000,0.000,0.000,0.000,C:\Python\lib\functools.py:791(register)
1,0.000,0.000,0.000,0.000,C:\Python\lib\functools.py:750(singledispatch)
153,0.001,0.000,0.002,0.000,C:\Python\lib\random.py:174(randrange)
245,0.001,0.000,0.002,0.000,C:\Python\lib\random.py:224(_randbelow)
92,0.000,0.000,0.000,0.000,C:\Python\lib\random.py:256(choice)
153,0.000,0.000,0.002,0.000,C:\Python\lib\random.py:218(randint)
80,0.000,0.000,0.033,0.000,C:\Python\lib\site-packages\PIL\Image.py:373(preinit)
168,0.001,0.000,0.002,0.000,C:\Python\lib\site-packages\PIL\Image.py:445(_getdecoder)
692,0.009,0.000,0.014,0.000,C:\Python\lib\site-packages\PIL\Image.py:466(_getencoder)
2830,0.008,0.000,0.008,0.000,C:\Python\lib\site-packages\PIL\Image.py:552(__init__)
2520,0.002,0.000,0.002,0.000,C:\Python\lib\site-packages\PIL\Image.py:572(size)
2072,0.016,0.000,0.024,0.000,C:\Python\lib\site-packages\PIL\Image.py:576(_new)
2826,0.005,0.000,0.006,0.000,C:\Python\lib\site-packages\PIL\Image.py:595(__exit__)
2826,0.005,0.000,0.011,0.000,C:\Python\lib\site-packages\PIL\Image.py:633(__del__)
692,0.014,0.000,0.129,0.000,C:\Python\lib\site-packages\PIL\Image.py:738(tobytes)
88,0.000,0.000,0.002,0.000,C:\Python\lib\site-packages\PIL\Image.py:811(frombytes)
3346,0.008,0.000,0.013,0.000,C:\Python\lib\site-packages\PIL\Image.py:842(load)
1292,0.014,0.000,0.130,0.000,C:\Python\lib\site-packages\PIL\Image.py:892(convert)
19,0.000,0.000,0.096,0.005,C:\Python\lib\site-packages\PIL\Image.py:1137(copy)
136/80,0.001,0.000,0.779,0.010,C:\Python\lib\site-packages\PIL\Image.py:1834(resize)
590,0.002,0.000,0.002,0.000,C:\Python\lib\site-packages\PIL\Image.py:1982(transform)
612,0.020,0.000,1.059,0.002,C:\Python\lib\site-packages\PIL\Image.py:1894(rotate)
1180/590,0.020,0.000,1.012,0.002,C:\Python\lib\site-packages\PIL\Image.py:2234(transform)
590,0.007,0.000,0.849,0.001,C:\Python\lib\site-packages\PIL\Image.py:2315(__transformer)
13,0.000,0.000,0.001,0.000,C:\Python\lib\site-packages\PIL\Image.py:2388(transpose)
766,0.003,0.000,0.004,0.000,C:\Python\lib\site-packages\PIL\Image.py:2455(_check_size)
678,0.007,0.000,0.029,0.000,C:\Python\lib\site-packages\PIL\Image.py:2473(new)
88,0.000,0.000,0.004,0.000,C:\Python\lib\site-packages\PIL\Image.py:2512(frombytes)
80,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\Image.py:2719(_decompression_bomb_check)
80,0.002,0.000,0.018,0.000,C:\Python\lib\site-packages\PIL\Image.py:2785(_open_core)
80,0.001,0.000,0.065,0.001,C:\Python\lib\site-packages\PIL\Image.py:2739(open)
7,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\Image.py:2928(register_open)
7,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\Image.py:2943(register_mime)
7,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\Image.py:2954(register_save)
2,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\Image.py:2965(register_save_all)
15,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\Image.py:2977(register_extension)
4,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\Image.py:2988(register_extensions)
88,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\_util.py:9(isStringType)
160,0.000,0.000,0.000,0.000,C:\Python\lib\site-packages\PIL\_util.py:15(isPath)
1,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:187(_checkLevel)
2,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:212(_acquireLock)
2,0.000,0.000,0.000,0.000,C:\Python\lib\logging\__init__.py:221(_releaseLock)
162,0.000,0.000,0.002,0.000,C:\Python\lib\re.py:185(sub)
55,0.000,0.000,0.046,0.001,C:\Python\lib\re.py:232(compile)
4,0.000,0.000,0.000,0.000,C:\Python\lib\re.py:252(escape)
217,0.001,0.000,0.047,0.000,C:\Python\lib\re.py:271(_compile)
2,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:18(_is_descriptor)
4,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:26(_is_dunder)
4,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:34(_is_sunder)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:64(__init__)
4,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:70(__setitem__)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:125(__prepare__)
1,0.000,0.000,0.000,0.000,C:\Python\lib\enum.py:152(<dictcomp>)
